user_id,password,birth,gender,job,mbti,age
DvA9ih2yOQ,OFOd(of&qy<M,"1967-07-14 00:00:00",0,9,16,56
efo3dsgS7Z,^q})~qF3IY]Q,"1978-01-14 00:00:00",0,8,8,46
EFT1t8RfdN,Uy^I4C.m=j_[,"1999-03-22 00:00:00",1,8,11,25
emzNiB1ncM,3U)iz1\heIH_,"1957-11-20 00:00:00",1,2,16,66
fCx7qGAUx3,NZ5Q47[%W=O&,"1951-03-10 00:00:00",0,2,11,73
FObuh6sHWI,"|,oy@GP{R:%-","1966-02-25 00:00:00",1,8,9,58
fXX2ABA4cr,"hGG,yt9H"AjK","1954-08-23 00:00:00",1,2,14,69
GgO9caB3vM,#s*s\-w{W^KV,"2001-12-01 00:00:00",0,9,13,22
gYeeXaY023,/WK4#`U01`{B,"1976-03-29 00:00:00",1,3,1,48
H6gr9B8g6r,"<7J,<4v.yx{,","1965-07-04 00:00:00",1,9,2,58
hH5q319DrC,~qxpI`q8PZo4,"1952-09-26 00:00:00",1,8,2,71
HhHjY35Rf5,""gq;W/6)pET6","1973-07-08 00:00:00",1,2,9,50
hijKztDRxK,z4yT>=*YFk>[,"1967-05-23 00:00:00",1,7,8,57
hn7bsmwFAV,%PZWQJcsOLt-,"1987-07-04 00:00:00",1,4,5,36
HqVyHYAduQ,"W=,qezAw2|.A","1993-04-15 00:00:00",1,4,2,31
HTbX1usG1H,h_~}}7M)UXI(,"1967-02-27 00:00:00",1,8,10,57
hXxk1nePyk,k|{'UoR~Rjer,"1959-09-30 00:00:00",1,2,14,64
I8p9fU3dn4,"Vev2N9(n-},y","1993-03-09 00:00:00",0,5,6,31
iiUFQDLynb,Yz\5K}?YP4}/,"1963-12-23 00:00:00",1,7,9,60
iX8doDyjiv,P:RVDq5daxa5,"1963-05-23 00:00:00",0,3,4,61
JHULYNhjvu,Y1]$;@v)YFj9,"1999-01-30 00:00:00",1,9,3,25
jnGiTbTFXA,"=|2;e)!,HSr3","1952-04-08 00:00:00",0,1,8,72
K2Nqv73Lfr,"D,6r99ia0bc*","1969-12-27 00:00:00",0,6,15,54
KmGaGZ6AL4,#!@K>YsYONf(,"1994-03-13 00:00:00",1,6,1,30
kyRZQXmYdZ,+|wqfP;^UqQu,"1957-08-23 00:00:00",0,7,12,66
L2ABYAzoPT,AC~hAOiTbB~8,"1950-04-04 00:00:00",1,1,13,74
l85vAmlUQ1,;qn59-0w:0g:,"1990-08-23 00:00:00",0,3,16,33
Mh5ZuBZLA7,"U?tX"LSkT-=*","1965-06-09 00:00:00",0,3,3,59
n9f1QftKG6,Y9wY1!M+*Q*Q,"1950-01-26 00:00:00",1,2,6,74
NNp3AqtePs,-SRL(`=.wY6M,"1955-10-26 00:00:00",1,3,8,68
NO6rgUzLks,".vv:9m0,z&rR","1992-09-04 00:00:00",1,2,16,31
oClb7gd4Va,UVI::pmUoM0B,"1959-02-28 00:00:00",1,9,3,65
ohrmyaOsEk,"g,Q;7oXEY<)>","2004-05-18 00:00:00",1,7,5,20
OJUHjhGBd9,j<|^FF)aSivf,"2000-01-09 00:00:00",0,1,10,24
oLifb95sw9,@s.V|<`iqpx/,"1992-05-04 00:00:00",0,8,8,32
OYAQW5ssvx,s`V@8%t\sPn2,"1993-04-01 00:00:00",0,7,14,31
QI4A0o3RRt,F}VgT4D7_Eiw,"1988-06-20 00:00:00",0,1,11,35
QTv0IOFL6O,<ef<KFbBL&5Y,"1952-08-02 00:00:00",1,5,2,71
R3k7qlR1wK,"-a;9XAi!s,5=","1950-07-09 00:00:00",1,8,11,73
RfeLhArzu9,"EwB{FJ,<#WP>","1993-07-23 00:00:00",1,9,10,30
rgFNsHpXMZ,"Of^QzToOa,Ce","1962-05-29 00:00:00",1,4,14,62
rN1XvkBkRV,g=fC3cN!Iodh,"1984-09-30 00:00:00",0,1,6,39
rpBgM7LQ1z,+vd[;O8|U}Z[,"1967-09-20 00:00:00",1,8,14,56
SdJbGy1RO5,T28uTsLK%eTo,"2002-01-19 00:00:00",1,2,13,22
STNx4hvzXV,*:T2xE>~XYca,"1989-11-09 00:00:00",1,2,16,34
t1ONbpR7gM,?*$J&ty.~&dh,"1988-09-05 00:00:00",0,4,4,35
T6OB5NC2nM,>#:/1qF<rL[7,"1965-09-01 00:00:00",1,3,10,58
t8itUzkCuK,`X\G`w!x|_0],"1967-01-10 00:00:00",0,7,1,57
Th7I6X7YeJ,:#3_5J/Jh_6T,"1986-05-06 00:00:00",1,5,9,38
ticcc2FbFo,tVfPP$4g6Qr*,"1999-03-18 00:00:00",0,5,4,25
TNLBqnQGwp,}$-Qg#QmR!E`,"1999-05-05 00:00:00",1,2,3,25
TWaDTpup7q,-!.**{?+|4TJ,"1958-07-14 00:00:00",0,6,2,65
u1vgCZa8Xi,:pz9O9{tz{R!,"1999-03-19 00:00:00",1,6,7,25
Vcm7uzlt4C,Wr.__'0gVT>#,"1985-11-02 00:00:00",0,6,7,38
Vn7KpgvOED,OE&+`hf'!C`b,"2001-09-09 00:00:00",0,7,8,22
vxVnQtGSSx,K99wO7Wvic#c,"2000-05-10 00:00:00",1,5,12,24
WccY61Q8pL,/tJ}bNk?tYzn,"1973-11-28 00:00:00",0,9,14,50
WIttAY1ZoD,"l=}D,x&T;.SA","2004-06-16 00:00:00",0,6,9,20
WnoagaAjbb,G+}Ovls;haj_,"1976-07-25 00:00:00",0,5,3,47
WsLgmkVaeR,"P&Ihk_eoLF1"","1950-12-17 00:00:00",0,6,6,73
WT33HtHZv1,!&K&ns-|==`s,"1994-12-28 00:00:00",1,3,11,29
WWLXlQmX75,zHhBYAwp|V'_,"1985-07-13 00:00:00",0,4,9,38
x6UWLqiWAP,"Rt^]P2Qez@K"","1990-12-25 00:00:00",0,8,2,33
xBqNw73eL6,r!.^[;3$x_:/,"2000-03-19 00:00:00",1,7,13,24
XEmGzicNgy,xmq86w:4T%_3,"1953-05-20 00:00:00",1,4,16,71
xEt48U7I1R,^pjq^6U1y}8T,"1959-02-19 00:00:00",1,2,5,65
Xgz7CcZE36,egbq/4lv}!u],"1970-07-10 00:00:00",0,3,14,53
XwE1u4MgFp,s?v?m<Yyx'/X,"2001-01-04 00:00:00",1,3,14,23
xxJmssCwYo,7=L~7*0#o7@(,"1963-03-15 00:00:00",0,5,12,61
Y5RUB0KHTV,",13n>aJ~.{vE","1997-10-25 00:00:00",1,7,8,26
yb3U36fGnL,x)YGQlq$\Gf',"1957-05-24 00:00:00",0,2,10,67
YklkPDoXTI,X|:w+<7^0\G+,"1973-07-04 00:00:00",0,7,8,50
Z7trKBzV2H,KJ~K/P>dQzv),"1952-02-02 00:00:00",1,8,3,72
